Time,E,H,I,R,S
0.0659054,134,0,10,0,9856
0.0671511,134,0,9,1,9856
0.0862989,133,0,10,1,9856
0.139299,132,0,11,1,9856
0.199275,131,0,12,1,9856
0.24496,130,0,13,1,9856
0.289456,129,0,14,1,9856
0.293978,128,0,15,1,9856
0.392661,129,0,15,1,9855
0.396053,128,0,16,1,9855
0.408225,129,0,16,1,9854
0.409736,128,0,17,1,9854
0.441173,128,0,16,2,9854
0.443428,127,0,17,2,9854
0.472692,128,0,17,2,9853
0.489297,129,0,17,2,9852
0.49079,130,0,17,2,9851
0.495693,129,0,18,2,9851
0.508649,128,0,19,2,9851
0.512601,129,0,19,2,9850
0.541384,128,0,20,2,9850
0.562878,129,0,20,2,9849
0.679009,128,0,21,2,9849
0.718556,127,0,22,2,9849
0.749399,128,0,22,2,9848
0.771386,129,0,22,2,9847
0.804976,128,0,23,2,9847
0.824093,129,0,23,2,9846
0.87928,128,0,24,2,9846
0.884151,129,0,24,2,9845
0.899109,128,0,25,2,9845
0.956905,128,0,24,3,9845
1.02013,127,0,25,3,9845
1.02271,128,0,25,3,9844
1.0525,129,0,25,3,9843
1.07429,130,0,25,3,9842
1.10587,131,0,25,3,9841
1.13954,132,0,25,3,9840
1.15701,131,0,26,3,9840
1.15785,130,0,27,3,9840
1.17702,131,0,27,3,9839
1.21753,130,0,28,3,9839
1.22128,129,0,29,3,9839
1.22843,128,0,30,3,9839
1.24175,129,0,30,3,9838
1.25305,130,0,30,3,9837
1.25577,131,0,30,3,9836
1.26796,130,0,31,3,9836
1.28187,129,0,32,3,9836
1.30296,128,0,33,3,9836
1.3102,129,0,33,3,9835
1.36089,128,0,34,3,9835
1.36867,128,0,33,4,9835
1.36885,127,0,34,4,9835
1.3769,128,0,34,4,9834
1.3929,127,0,35,4,9834
1.40642,128,0,35,4,9833
1.44903,129,0,35,4,9832
1.45401,130,0,35,4,9831
1.47545,129,0,36,4,9831
1.48014,130,0,36,4,9830
1.49095,130,0,35,5,9830
1.50577,129,0,36,5,9830
1.5412,130,0,36,5,9829
1.54416,131,0,36,5,9828
1.54639,132,0,36,5,9827
1.55723,131,0,37,5,9827
1.60483,132,0,37,5,9826
