Time,E,H,I,R,S
0.00410513,136,0,9,0,9855
0.0332752,135,0,10,0,9855
0.0527214,134,0,11,0,9855
0.0629774,133,0,12,0,9855
0.0687711,134,0,12,0,9854
0.0790104,133,0,13,0,9854
0.0923836,132,0,14,0,9854
0.114817,131,0,15,0,9854
0.145606,132,0,15,0,9853
0.150671,133,0,15,0,9852
0.165375,134,0,15,0,9851
0.189715,133,0,16,0,9851
0.215506,133,0,15,1,9851
0.245358,133,0,14,2,9851
0.262727,132,0,15,2,9851
0.26586,133,0,15,2,9850
0.274102,132,0,16,2,9850
0.303055,133,0,16,2,9849
0.312554,134,0,16,2,9848
0.323824,135,0,16,2,9847
0.335533,134,0,17,2,9847
0.341459,135,0,17,2,9846
0.350869,136,0,17,2,9845
0.370169,136,0,16,3,9845
0.392464,135,0,17,3,9845
0.405907,134,0,18,3,9845
0.417089,135,0,18,3,9844
0.424754,136,0,18,3,9843
0.487095,137,0,18,3,9842
0.513118,136,0,19,3,9842
0.528119,135,0,20,3,9842
0.53552,134,0,21,3,9842
0.601578,133,0,22,3,9842
0.609092,134,0,22,3,9841
0.614507,135,0,22,3,9840
0.627558,134,0,23,3,9840
0.649348,135,0,23,3,9839
0.663101,134,0,24,3,9839
0.68723,134,0,23,4,9839
0.69868,134,0,22,5,9839
0.719703,133,0,23,5,9839
0.728008,134,0,23,5,9838
0.750911,135,0,23,5,9837
0.769664,136,0,23,5,9836
0.802062,136,0,22,6,9836
0.818825,135,0,23,6,9836
0.830531,136,0,23,6,9835
0.830726,135,0,24,6,9835
0.836484,136,0,24,6,9834
0.844491,135,0,25,6,9834
0.862695,136,0,25,6,9833
0.907473,136,0,24,7,9833
0.926291,137,0,24,7,9832
0.928974,136,0,25,7,9832
0.931152,136,0,24,8,9832
0.950129,137,0,24,8,9831
0.999384,136,0,25,8,9831
1.00303,135,0,26,8,9831
1.0169,134,0,27,8,9831
1.02454,133,0,28,8,9831
1.02599,132,0,29,8,9831
1.04682,133,0,29,8,9830
1.05503,132,0,30,8,9830
1.07593,133,0,30,8,9829
1.15455,134,0,30,8,9828
1.15581,134,0,29,9,9828
1.20856,133,0,30,9,9828
1.21511,134,0,30,9,9827
1.21571,133,0,31,9,9827
1.22924,134,0,31,9,9826
1.25412,135,0,31,9,9825
1.25666,136,0,31,9,9824
1.26033,136,0,30,10,9824
1.2615,135,0,31,10,9824
1.27934,135,0,30,11,9824
1.28268,136,0,30,11,9823
1.28899,136,0,29,12,9823
1.29374,137,0,29,12,9822
1.33405,138,0,29,12,9821
1.34733,138,0,28,13,9821
1.34933,138,0,27,14,9821
1.35615,137,0,28,14,9821
1.36389,136,0,29,14,9821
1.36791,135,0,30,14,9821
1.38171,136,0,30,14,9820
1.40209,137,0,30,14,9819
1.43042,138,0,30,14,9818
1.43381,139,0,30,14,9817
1.47758,140,0,30,14,9816
1.48472,141,0,30,14,9815
1.52811,142,0,30,14,9814
1.55909,143,0,30,14,9813
1.57145,142,0,31,14,9813
1.61006,143,0,31,14,9812
1.61687,144,0,31,14,9811
1.62989,143,0,32,14,9811
1.67305,144,0,32,14,9810
1.68005,143,0,33,14,9810
1.70158,142,0,34,14,9810
1.70735,143,0,34,14,9809
1.76613,142,0,35,14,9809
1.78659,143,0,35,14,9808
1.7922,142,0,36,14,9808
1.79855,141,0,37,14,9808
1.80273,142,0,37,14,9807
1.81358,141,0,38,14,9807
1.81945,140,0,39,14,9807
1.8315,139,0,40,14,9807
1.83558,139,0,39,15,9807
1.8468,138,0,40,15,9807
1.85818,137,0,41,15,9807
1.87492,137,0,40,16,9807
1.8796,136,0,41,16,9807
1.93303,136,0,40,17,9807
1.93357,137,0,40,17,9806
1.93956,138,0,40,17,9805
1.97337,138,0,39,18,9805
1.99139,139,0,39,18,9804
2.0028,139,0,38,19,9804
2.00402,139,0,37,20,9804
2.06108,138,0,38,20,9804
2.0621,138,0,37,21,9804
2.06237,137,0,38,21,9804
2.07302,138,0,38,21,9803
2.09543,137,0,39,21,9803
2.12018,138,0,39,21,9802
2.1295,138,0,38,22,9802
2.13819,138,0,37,23,9802
2.14338,137,0,38,23,9802
2.17333,136,0,39,23,9802
2.19959,137,0,39,23,9801
2.21185,138,0,39,23,9800
2.21526,137,0,40,23,9800
2.21739,138,0,40,23,9799
2.23473,137,0,41,23,9799
2.23583,138,0,41,23,9798
2.25321,137,0,42,23,9798
2.2556,136,0,43,23,9798
2.2946,136,0,42,24,9798
