Time,A,C,DA,DR,D_A,D_R,MA,MR,R
0.0794262,1,0,1,1,0,0,1,0,0
0.0931947,1,0,1,1,0,0,2,0,0
0.0946448,1,0,1,1,0,0,3,0,0
0.0991244,2,0,1,1,0,0,3,0,0
0.0996839,3,0,1,1,0,0,3,0,0
0.111271,4,0,1,1,0,0,3,0,0
0.120792,5,0,1,1,0,0,3,0,0
0.12214,5,0,1,1,0,0,4,0,0
0.123674,5,0,1,1,0,0,5,0,0
0.124135,6,0,1,1,0,0,5,0,0
0.12841,7,0,1,1,0,0,5,0,0
0.130528,8,0,1,1,0,0,5,0,0
0.130641,9,0,1,1,0,0,5,0,0
0.137041,10,0,1,1,0,0,5,0,0
0.137792,11,0,1,1,0,0,5,0,0
0.138423,11,0,1,1,0,0,6,0,0
0.146387,12,0,1,1,0,0,6,0,0
0.146637,12,0,1,1,0,0,7,0,0
0.148171,13,0,1,1,0,0,7,0,0
0.149079,14,0,1,1,0,0,7,0,0
0.149489,15,0,1,1,0,0,7,0,0
0.149734,15,0,1,1,0,0,6,0,0
0.152382,16,0,1,1,0,0,6,0,0
0.153532,17,0,1,1,0,0,6,0,0
0.153929,18,0,1,1,0,0,6,0,0
0.157185,18,0,1,1,0,0,7,0,0
0.160071,19,0,1,1,0,0,7,0,0
0.16188,20,0,1,1,0,0,7,0,0
0.171623,20,0,1,1,0,0,6,0,0
0.17238,21,0,1,1,0,0,6,0,0
0.172485,22,0,1,1,0,0,6,0,0
0.174836,22,0,1,1,0,0,5,0,0
0.178291,23,0,1,1,0,0,5,0,0
0.18625,24,0,1,1,0,0,5,0,0
0.18748,25,0,1,1,0,0,5,0,0
0.188042,26,0,1,1,0,0,5,0,0
0.189392,27,0,1,1,0,0,5,0,0
0.189623,27,0,1,1,0,0,6,0,0
0.190484,28,0,1,1,0,0,6,0,0
0.191381,29,0,1,1,0,0,6,0,0
0.192551,30,0,1,1,0,0,6,0,0
0.197481,31,0,1,1,0,0,6,0,0
0.200049,31,0,1,1,0,0,5,0,0
0.200834,31,0,1,1,0,0,4,0,0
0.210374,31,0,1,1,0,0,3,0,0
0.211165,30,0,0,1,1,0,3,0,0
0.213176,30,0,0,1,1,0,4,0,0
0.213338,30,0,0,1,1,0,5,0,0
0.213513,30,0,0,1,1,0,6,0,0
0.213704,29,0,0,1,1,0,6,0,0
0.214046,29,0,0,1,1,0,7,0,0
0.214549,29,0,0,1,1,0,8,0,0
0.21592,29,0,0,1,1,0,9,0,0
0.216116,29,0,0,1,1,0,10,0,0
0.216944,29,0,0,1,1,0,9,0,0
0.217247,30,0,0,1,1,0,9,0,0
0.217459,31,0,0,1,1,0,9,0,0
0.217685,31,0,0,1,1,0,8,0,0
0.218932,31,0,0,1,1,0,9,0,0
0.219151,32,0,0,1,1,0,9,0,0
0.219554,33,0,0,1,1,0,9,0,0
0.220323,34,0,0,1,1,0,9,0,0
0.220639,34,0,0,1,1,0,10,0,0
0.221539,34,0,0,1,1,0,11,0,0
0.22242,34,0,0,1,1,0,12,0,0
0.222507,34,0,0,1,1,0,13,0,0
0.222557,34,0,0,1,1,0,14,0,0
0.223074,34,0,0,1,1,0,13,0,0
