Time,A,B,C
1.43046,49,51,1
13.1169,48,52,1
13.6313,47,53,1
57.2711,46,54,1
120.125,45,55,1
133.923,44,56,1
189.947,43,57,1
221.44,42,58,1
223.139,41,59,1
242.527,40,60,1
261.508,39,61,1
262.006,38,62,1
295.419,37,63,1
304.834,36,64,1
378.213,35,65,1
419.776,34,66,1
429.448,33,67,1
429.561,32,68,1
433.621,31,69,1
469.565,30,70,1
471.531,29,71,1
495.786,28,72,1
592.25,27,73,1
749.05,26,74,1
759.004,25,75,1
816.956,24,76,1
863.134,23,77,1
932.508,22,78,1
971.777,21,79,1
992.212,20,80,1
1138.92,19,81,1
1190.17,18,82,1
1252.61,17,83,1
1262.62,16,84,1
1356.68,15,85,1
1390.76,14,86,1
1434.63,13,87,1
1657.66,12,88,1
1797.23,11,89,1
1926.45,10,90,1
1928.64,9,91,1
2093.14,8,92,1
